player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_epa,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_snap,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_positive_epa_percent,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_epa,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_snap,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_positive_epa_percent,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_epa,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_snap,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_positive_epa_percent,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_epa,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_snap,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_positive_epa_percent,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Zach Smith,25631,QB,BAYLOR,9,227,53.5,71,81,10.1,2.31,2,2,2.5,44.4,36,37,5.3,89,39.2,2,-0.38,22,,,,,19.5,47.1,77.8,,46.1,,,64.1,,,6,2,89,32.6,18.9,73.4,7.9,7,1,0,2,4,6,6.7,546,6.7,0,118,25.2,49.2,50.7,47.1,68.4,117,123,9.0,2.59,0,4,3.1,56.1,69,42,13.8,138,60.8,11,0.0,35,,,,,42.1,52.1,79.9,,56.0,,,32.7,,,1,6,143,37.0,21.4,70.7,6.5,9,4,0,5,4,10,7.0,925,7.5,71.8,142,145,9.2,2.2,2,6,4.1,63.4,92,0,9.8,148,65.2,10,0.32,49,,,,,58.4,73.4,80.1,,75.1,,,42.8,,,0,5,151,46.6,,96.2,0.0,0,1,0,1,8,7,4.6,1294,8.9,4,34.8,46,59,10.3,3.0,0,0,0.0,22.0,13,79,18.8,79,34.8,3,-1.02,8,,,,,14.8,24.9,77.5,,25.0,,,56.1,,,7,3,81,13.9,20.3,18.4,20.3,16,4,0,6,0,9,11.1,177,3.0
Austin Allen,46542,QB,ARKANSAS,8,225,74.4,78,90,8.9,2.83,2,1,1.1,58.9,53,56,8.6,105,46.7,5,0.06,37,,,,,53.3,62.1,36.5,,67.8,54.3,,37.9,,,2,1,109,43.8,14.3,89.4,7.6,8,5,0,8,4,3,2.8,606,6.7,0,111,64.7,67.7,70.4,46.2,69.0,87,99,12.4,3.16,4,7,6.6,52.5,52,42,13.3,120,53.3,8,0.0,36,,,,,72.7,69.9,79.4,,69.9,,,59.5,,,2,4,128,38.3,26.2,82.9,9.2,11,9,0,6,6,4,3.1,800,8.1,85.0,107,114,9.8,2.55,5,3,2.5,71.1,81,0,11.0,127,56.4,10,0.53,56,,,,,56.6,85.7,79.6,,89.3,54.3,,46.9,,,0,2,133,58.3,,116.8,0.8,1,9,0,2,8,3,2.3,1079,9.5,2,46.6,58,75,12.4,3.6,1,5,6.3,32.0,24,98,11.1,98,43.6,3,-0.63,17,,,,,72.0,41.4,34.3,,42.8,,,55.6,,,4,3,104,18.4,18.4,39.1,18.4,18,5,0,12,2,4,3.8,327,4.4
George Bollas,38869,QB,KENT STATE,11,224,56.1,41,50,9.6,2.67,0,1,1.9,42.0,21,35,8.7,63,28.1,2,-0.7,11,,,,,70.6,30.1,76.7,,30.0,,,58.7,,,2,5,67,28.6,31.4,25.4,17.5,11,2,0,7,1,8,11.9,255,5.1,0,201,55.9,42.7,36.8,58.6,61.3,124,131,10.4,2.95,0,4,2.9,50.4,66,48,13.2,161,71.9,10,-0.25,41,,,,,60.1,44.7,80.7,,44.4,60.0,,57.7,,,1,7,170,34.2,25.0,57.2,7.5,12,18,0,6,3,9,5.3,874,6.7,63.8,127,129,9.9,2.44,0,3,2.2,55.8,72,0,11.1,141,62.9,9,-0.05,44,,,,,73.3,44.2,80.0,,45.1,,,53.8,,,0,6,147,40.4,,68.4,0.0,0,12,0,2,3,11,7.5,974,7.6,1,47.4,38,52,11.1,3.6,0,2,3.5,28.8,15,83,16.7,83,37.1,3,-0.94,8,,,,,49.9,34.0,77.9,,30.7,60.0,,63.7,,,3,6,90,19.3,27.7,6.4,27.7,23,8,0,11,1,6,6.7,155,3.0
Frank Nutile,26476,QB,TEMPLE,8,223,64.0,86,89,11.3,2.26,2,4,4.4,58.4,52,35,5.5,97,43.5,3,0.22,36,,,,66.7,72.0,67.1,78.4,,66.1,79.9,,60.0,,,0,4,99,45.4,11.4,92.3,4.1,4,3,0,1,7,3,3.0,727,8.2,0,306,59.3,68.2,68.6,52.6,72.4,105,112,9.8,2.62,5,9,7.8,62.5,70,38,7.9,126,56.5,6,0.12,46,,,,,56.1,67.2,79.5,,68.6,59.9,,53.4,,,1,3,129,45.2,13.2,90.2,4.0,5,8,1,0,5,6,4.7,868,7.8,69.9,133,141,9.1,2.18,7,5,3.5,60.3,85,0,8.6,150,67.3,8,0.02,53,,,,,58.5,63.6,80.1,,63.8,,,56.7,,,0,6,152,44.0,,78.6,0.0,0,7,1,0,6,5,3.3,1011,7.2,2,65.5,58,60,13.6,3.06,0,8,12.7,61.7,37,73,2.6,73,32.7,1,0.45,29,,,,66.7,71.1,73.0,77.5,,73.5,71.2,,55.0,,,1,1,76,47.9,12.3,120.4,12.3,9,4,0,1,6,4,5.3,584,9.7
Shai Werts,40384,QB,GA SOUTHRN,11,221,72.7,44,47,12.4,3.08,0,4,8.0,55.3,26,36,18.8,73,33.0,6,-0.01,16,,,,66.7,47.0,81.7,25.2,,82.8,81.8,,63.4,,,0,1,76,37.0,27.8,87.3,13.7,10,16,0,3,3,1,1.3,301,6.4,0,174,29.0,54.0,54.4,55.3,65.6,96,107,8.6,3.01,2,3,2.7,55.1,59,57,6.3,148,67.0,4,-0.39,39,,,,,58.5,43.4,80.2,,39.0,,,63.0,,,1,4,153,35.8,21.1,69.5,8.1,12,27,1,7,4,9,5.9,630,5.9,75.7,103,108,6.7,2.39,2,4,3.5,65.7,71,0,9.0,128,57.9,7,-0.12,35,,,,66.7,73.0,66.2,79.6,,64.8,81.8,,60.8,,,0,2,133,43.8,,81.8,0.8,1,17,1,2,3,3,2.3,605,5.6,4,45.9,37,46,18.4,3.91,0,3,6.3,30.4,14,93,17.6,93,42.1,3,-0.47,20,,,,,30.1,47.2,31.2,,40.4,,,64.9,,,1,3,96,25.8,22.6,58.8,22.6,21,26,0,8,4,7,7.3,326,7.1
Jon Wassink,34650,QB,W MICHIGAN,8,221,63.5,52,52,9.7,2.2,0,1,1.8,61.5,32,14,3.0,60,27.1,1,0.26,24,,,,,70.5,53.5,76.7,,55.5,57.2,,52.2,,,0,1,65,51.7,28.6,99.8,6.7,4,4,0,0,4,2,3.1,360,6.9,0,347,56.9,76.8,72.7,67.3,74.8,135,143,9.0,2.33,3,6,4.1,65.0,93,26,7.9,161,72.9,8,0.09,51,,,,70.7,73.9,85.2,50.2,,79.0,91.4,,79.7,,,2,3,164,44.7,30.8,101.9,5.0,8,10,2,1,10,3,1.8,1064,7.4,73.4,169,173,9.0,2.1,2,5,2.8,67.1,116,0,6.5,181,81.9,8,0.33,70,,,,70.7,74.4,81.5,53.5,,75.8,91.4,,80.7,,,0,3,186,52.5,,110.3,0.0,0,8,2,0,14,5,2.7,1352,7.8,2,55.6,18,22,11.2,3.15,1,2,8.3,40.9,9,40,10.0,40,18.1,1,-0.71,5,,,,,69.2,52.6,75.2,,54.3,57.2,,55.2,,,2,1,43,20.0,30.0,30.9,30.0,12,6,0,1,0,0,0.0,72,3.3
Nick Starkel,40326,QB,TEXAS A&M,7,214,69.4,62,68,10.2,2.14,2,5,7.1,58.8,40,27,7.0,72,33.6,3,0.11,28,,,,,70.8,67.8,77.1,,67.2,,,,,,2,3,74,51.4,11.1,93.0,4.2,3,0,0,2,5,2,2.7,584,8.6,0,312,54.5,74.8,75.7,46.4,71.9,135,138,9.8,2.47,0,10,6.8,60.1,83,35,14.4,142,66.4,14,0.32,52,,,,,58.4,77.9,80.1,,77.2,,,57.0,,,1,3,150,50.7,8.6,101.4,2.1,3,1,0,2,9,7,4.7,1209,8.8,76.9,147,151,9.1,2.16,1,13,8.4,65.6,99,0,12.4,152,71.0,14,0.48,63,,,,,73.5,83.1,80.2,,81.6,,,,,,0,2,155,57.9,,109.6,0.0,0,0,0,3,9,4,2.6,1395,9.2,2,54.0,50,55,12.6,2.84,1,2,3.2,43.6,24,62,11.1,62,29.0,3,-0.31,17,,,,,44.3,58.4,76.8,,58.9,,,57.0,,,3,4,69,33.9,9.7,68.6,9.7,6,1,0,1,5,5,7.2,398,7.2
Chazz Surratt,40313,QB,N CAROLINA,9,213,66.7,51,60,9.7,2.68,3,1,1.7,53.3,32,27,5.9,69,32.4,2,-0.13,25,,,,,39.2,63.3,76.9,,62.6,60.0,,62.2,,,1,2,69,42.0,18.5,89.2,7.2,5,4,0,5,5,3,4.3,415,6.9,0,245,41.1,59.4,60.2,57.4,73.5,113,124,8.7,2.69,3,8,6.1,60.5,75,40,9.6,144,67.6,8,-0.14,39,,,,,40.2,60.1,80.1,,58.9,,,63.8,,,3,1,152,38.9,32.5,88.3,9.0,13,7,1,4,3,8,5.3,927,7.5,73.7,133,139,8.4,2.28,5,8,5.6,65.5,91,0,7.1,146,68.5,7,0.16,53,,,,,73.4,74.2,80.1,,72.8,,,64.4,,,0,1,151,47.3,,104.6,0.7,1,6,1,0,7,5,3.3,1140,8.2,1,61.3,31,45,11.5,3.58,1,1,2.1,35.6,16,67,15.8,67,31.5,3,-0.79,11,,,,,18.8,35.2,76.9,,32.8,60.0,,61.8,,,4,2,70,23.9,25.4,39.3,25.4,17,5,0,9,1,6,8.6,202,4.5
Carter Stanley,13634,QB,KANSAS,7,212,53.3,45,47,9.8,2.36,1,2,4.1,46.8,22,20,8.3,55,25.9,2,-0.28,12,,,,,40.3,42.0,76.2,,42.8,56.7,,57.8,,,1,0,57,30.9,35.0,75.0,12.7,7,1,0,0,1,2,3.5,303,6.4,0,198,39.6,47.9,50.2,48.9,69.4,134,139,10.3,2.64,4,7,4.8,57.6,80,37,14.0,157,74.1,13,-0.33,34,,,,,31.9,50.2,80.5,,55.5,,,35.7,,,1,7,166,37.6,21.6,60.0,5.1,8,9,0,0,3,12,7.2,792,5.7,69.0,142,147,9.0,2.28,5,7,4.5,59.2,87,0,11.2,155,73.1,11,-0.16,36,,,,,45.6,57.8,80.5,,61.6,,,38.3,,,0,4,163,43.2,,71.3,0.0,0,7,0,0,3,7,4.3,862,5.9,0,51.4,37,39,14.7,3.36,0,2,5.0,38.5,15,57,21.1,57,26.9,4,-0.75,10,,,,,25.2,28.8,76.3,,29.6,56.7,,47.1,,,2,3,60,15.8,26.3,35.5,26.3,15,3,0,0,1,7,11.7,233,6.0
Jeff George Jr.,46564,QB,ILLINOIS,7,207,66.0,47,49,9.7,2.61,0,7,12.1,59.2,29,32,6.5,59,28.5,2,-0.11,16,,,,,44.0,59.3,76.8,,57.6,,,64.9,,,0,1,68,35.6,25.0,102.3,13.6,8,1,0,2,3,5,7.4,458,9.3,0,187,42.2,49.2,48.2,59.1,61.8,123,132,11.1,2.86,1,7,5.0,49.2,65,68,14.5,148,71.5,11,-0.36,33,,,,,44.3,44.9,80.3,,45.8,,,53.5,,,4,9,158,35.8,17.6,50.6,8.1,12,4,0,4,4,13,8.2,816,6.2,69.3,101,104,9.2,2.51,0,7,6.3,56.7,59,0,15.7,107,51.7,11,0.13,28,,,,,72.4,56.9,78.9,,57.6,,,53.1,,,0,2,114,43.0,,86.6,0.0,0,2,0,3,5,5,4.4,730,7.0,0,53.6,69,77,13.1,3.08,1,7,8.0,45.5,35,100,5.4,100,48.3,2,-0.74,21,,,,,25.9,42.4,78.8,,41.4,,,63.7,,,4,8,112,28.0,20.0,38.5,20.0,20,3,0,3,2,13,11.6,544,7.1
Dallas Davis,13241,QB,S ALABAMA,9,207,70.2,47,51,9.6,2.47,0,3,5.6,43.1,22,25,33.3,58,28.0,11,-0.04,18,,,,,70.3,69.2,76.4,,70.6,,,52.8,,,0,1,61,37.9,20.0,97.9,8.6,5,2,0,4,6,2,3.3,353,6.9,0,288,40.4,62.8,65.5,51.2,73.3,120,128,9.4,2.75,1,6,4.5,60.9,78,49,11.4,149,72.0,10,-0.17,43,,,,,59.1,60.0,80.2,,61.7,,,53.1,,,0,6,154,46.3,12.2,71.2,4.0,6,15,1,6,2,9,5.8,1002,7.8,76.0,125,126,9.0,2.2,0,7,5.3,61.1,77,0,18.9,133,64.3,18,0.12,47,,,,,73.1,76.8,79.7,,74.8,,,67.2,,,0,5,138,51.9,,82.1,0.0,0,7,1,0,5,7,5.1,981,7.8,3,61.9,42,53,10.8,3.52,1,2,3.6,43.4,23,74,11.5,74,35.7,3,-0.57,14,,,,,47.5,39.9,77.3,,46.1,,,41.6,,,0,2,77,29.7,14.9,70.8,14.9,11,10,0,10,3,4,5.2,374,7.1
Khalil Tate,40237,QB,ARIZONA,11,205,70.1,77,87,14.9,3.01,0,11,11.8,56.3,49,40,9.3,98,47.8,5,0.2,36,,,,,72.1,91.1,78.5,,90.7,,,64.5,,,0,3,105,44.9,15.0,107.0,6.1,6,5,0,10,8,5,4.8,870,10.0,0,109,59.0,91.0,80.9,86.3,71.1,90,94,12.7,2.95,1,3,3.0,67.0,63,41,1.6,107,52.2,1,0.21,35,,,,,54.3,71.0,78.8,,63.4,,,88.8,,,0,6,112,47.7,14.6,84.8,5.6,6,7,0,3,6,6,5.4,726,7.7,72.4,123,123,12.2,2.07,0,9,6.9,69.1,85,0,4.5,124,60.5,4,0.27,47,,,,,72.9,86.5,79.5,,85.7,,,56.2,,,0,3,132,51.6,,111.5,0.0,0,1,0,0,9,4,3.0,1109,9.0,2,65.9,44,58,17.7,4.37,1,5,8.2,46.6,27,81,6.9,81,39.5,2,0.11,24,,,,,49.4,76.7,77.7,,65.6,,,87.6,,,0,6,85,38.3,14.8,65.0,14.8,12,11,0,13,5,7,8.2,487,8.4
Jarret Doege,60353,QB,BOWL GREEN,7,204,66.0,47,55,9.5,2.21,3,2,3.4,56.4,31,27,0.0,61,29.9,0,0.31,19,,,,,70.4,61.3,19.2,,63.0,,,57.8,,,1,1,64,41.0,18.5,106.3,8.2,5,1,0,4,5,2,3.1,455,8.3,0,122,44.7,67.1,69.7,45.2,78.7,122,134,7.6,2.55,2,4,2.9,66.4,89,44,7.3,143,70.1,7,-0.01,43,,,,66.7,43.7,71.7,80.1,,71.2,88.9,,50.2,,,1,2,149,44.1,13.6,97.4,4.2,6,3,0,9,7,7,4.7,926,6.9,76.0,125,132,8.2,2.13,3,4,3.0,68.2,90,0,5.3,133,65.2,5,0.35,48,,,,66.7,57.0,79.7,79.7,,77.9,88.9,,57.3,,,0,2,136,51.1,,108.9,0.0,0,1,0,4,9,5,3.7,1063,8.1,2,72.7,44,57,8.0,3.04,2,2,3.2,52.6,30,71,6.3,71,34.8,2,-0.4,14,,,,,47.5,48.1,24.8,,51.2,,,51.0,,,2,1,77,28.2,15.5,79.4,15.5,11,3,0,9,3,4,5.2,318,5.6
Jordan Ta'amu,60453,QB,OLE MISS,6,202,69.1,68,74,9.6,2.57,4,3,4.0,58.1,43,27,8.5,87,43.1,4,-0.19,27,,,,,49.5,57.3,77.8,,54.9,,,66.3,,,0,1,88,40.2,22.2,88.6,6.9,6,7,1,1,3,7,8.0,536,7.2,0,226,68.7,68.8,64.6,69.5,82.3,96,101,11.3,2.76,1,8,7.5,71.3,72,29,8.9,115,56.9,7,0.3,45,,,,,72.6,71.3,79.1,,70.9,,,60.4,,,1,3,120,53.0,20.7,122.6,5.2,6,7,0,3,8,6,5.0,1141,11.3,80.7,135,138,9.7,2.33,2,8,5.7,71.7,99,0,9.2,146,72.3,10,0.45,60,,,,,73.4,73.3,80.1,,73.7,,,55.5,,,0,1,149,55.5,,127.3,0.0,0,7,1,0,10,7,4.7,1468,10.6,2,58.6,29,37,14.8,3.58,3,3,7.5,43.2,16,56,5.9,56,27.7,1,-0.86,12,,,,,41.1,47.8,76.2,,41.5,,,71.2,,,1,3,59,26.8,21.4,36.9,21.4,12,7,0,4,1,6,10.2,209,5.6
Tyler Hilinski,34047,QB,WASH STATE,8,194,72.5,51,51,7.6,2.69,0,1,1.9,64.7,33,12,10.8,55,28.4,4,-0.06,18,,,,,33.6,60.8,76.0,,58.3,,,68.2,,,0,2,56,50.9,16.7,91.6,3.6,2,2,0,0,3,2,3.6,396,7.8,0,341,34.9,64.4,64.5,55.9,83.1,124,128,5.0,2.95,1,4,3.1,75.8,97,27,5.8,139,71.6,6,0.0,48,,,,,57.3,67.5,79.8,,66.8,,,61.1,,,2,5,141,48.9,14.8,84.8,2.9,4,7,0,1,4,6,4.3,780,6.1,83.7,147,149,5.6,2.69,1,4,2.6,75.8,113,0,8.1,155,79.9,10,0.07,56,,,,,73.6,73.3,80.3,,71.3,,,68.3,,,0,5,158,52.9,,89.9,0.0,0,6,0,1,5,3,1.9,982,6.6,0,60.7,28,30,7.0,3.61,0,1,3.3,56.7,17,39,0.0,39,20.1,0,-0.38,10,,,,,18.9,41.8,74.7,,41.5,,,58.1,,,2,2,39,35.9,15.4,70.7,15.4,6,3,0,0,2,5,12.8,194,6.5
John O'Korn,46515,QB,MICHIGAN,9,193,78.8,66,70,7.2,2.73,1,4,5.4,57.1,40,35,23.1,86,44.6,12,-0.29,26,,,,,49.7,79.3,77.9,,80.2,,,57.1,,,1,3,90,36.0,28.6,68.6,11.6,10,6,0,2,2,3,3.3,458,6.5,0,222,26.3,61.7,66.9,44.2,58.1,86,87,9.9,3.06,0,5,5.5,50.6,44,41,12.0,107,55.4,6,-0.29,21,,,,,26.3,50.5,78.8,,53.9,,,46.2,,,0,3,113,33.6,29.3,53.5,11.2,12,8,0,1,0,4,3.5,493,5.7,69.2,107,109,8.2,2.44,1,4,3.5,58.7,64,0,13.5,117,60.6,10,-0.12,28,,,,,38.0,62.1,79.2,,67.6,,,38.0,,,0,5,123,40.2,,63.6,0.0,0,8,0,1,2,5,4.1,668,6.1,4,62.2,45,48,10.2,3.64,0,5,9.8,41.7,20,76,28.6,76,39.4,8,-0.55,19,,,,,28.1,65.9,77.4,,63.3,,,67.3,,,1,1,80,26.3,28.9,52.7,28.9,22,6,0,2,0,2,2.5,283,5.9
Tyler Keane,54513,QB,COAST CAR,9,193,67.3,55,55,11.4,2.52,0,2,3.3,58.2,32,28,13.5,63,32.6,5,0.13,23,,,,,70.6,64.5,76.8,,62.9,,,64.3,,,0,2,68,46.0,25.0,94.5,11.1,7,1,0,0,3,5,7.4,540,9.8,0,141,56.7,63.9,66.5,51.4,70.5,105,115,9.5,2.65,5,2,1.6,59.1,68,43,8.1,130,67.4,6,0.09,41,,,,,73.1,66.6,79.7,,67.3,,,54.9,,,1,3,139,40.8,14.0,96.5,4.6,6,8,0,4,8,6,4.3,905,7.9,73.9,111,115,9.8,2.37,3,3,2.5,66.1,76,0,7.3,122,63.2,6,0.3,47,,,,,72.8,82.8,79.4,,80.7,,,67.4,,,0,4,128,50.0,,106.5,0.8,1,5,0,1,8,4,3.1,1123,9.8,2,59.2,49,55,11.1,3.01,2,1,1.6,43.6,24,71,17.2,71,36.8,5,-0.24,17,,,,,71.1,40.1,77.4,,42.3,,,49.2,,,1,1,79,29.6,16.9,73.4,16.9,12,4,0,3,3,7,8.9,322,5.9
Ben DiNucci,34311,QB,PITTSBURGH,10,192,52.8,53,60,12.6,3.25,2,2,3.2,38.3,23,30,17.9,70,36.5,5,-0.35,17,,,,,70.8,38.8,77.0,,38.3,,,58.8,,,0,2,73,31.4,16.7,58.3,7.1,5,5,0,5,3,6,8.2,310,5.2,0,268,35.6,53.8,53.5,55.0,76.7,90,99,9.5,3.19,2,5,5.0,65.7,65,36,5.8,122,63.5,4,0.05,38,,,,,38.4,69.3,79.3,,66.1,,,68.8,,,0,3,125,45.1,25.0,83.8,7.4,9,13,1,6,2,7,5.6,781,7.9,78.2,110,118,9.3,2.67,4,4,3.3,66.9,79,0,8.1,126,65.6,7,0.23,44,,,,,72.8,75.1,79.4,,72.7,,,68.6,,,0,2,129,50.8,,96.4,0.0,0,7,1,3,4,5,3.9,971,8.2,0,33.3,33,41,15.0,4.24,0,3,6.8,22.0,9,66,18.2,66,34.4,2,-0.72,11,,,,,26.7,29.2,76.8,,27.8,,,62.4,,,0,3,69,19.7,21.2,17.2,21.2,14,11,0,8,1,8,11.6,120,2.9
Kyle Postma,32269,QB,HOUSTON,7,190,71.4,56,59,9.3,2.31,2,2,3.0,61.0,36,15,10.0,66,34.7,4,-0.07,23,,,,,70.8,70.2,77.2,,67.4,54.3,,71.7,,,0,3,74,42.4,20.0,74.5,4.5,3,4,0,1,3,2,2.7,366,6.2,0,182,55.4,73.4,70.4,66.4,78.3,106,110,6.3,2.08,2,2,1.7,70.0,77,23,7.2,124,65.3,6,0.0,42,,,,66.7,36.1,69.4,79.5,,70.1,87.9,,52.8,,,2,3,130,46.8,8.7,84.2,1.6,2,10,0,0,2,6,4.6,767,7.0,75.2,141,144,6.6,1.87,3,3,1.9,69.4,100,0,5.7,152,80.0,6,0.05,54,,,,66.7,73.8,74.5,80.5,,71.4,79.1,,70.4,,,0,5,163,47.4,,84.8,0.0,0,6,0,0,5,5,3.1,958,6.7,1,81.0,21,25,12.2,3.31,1,1,3.7,52.0,13,38,23.5,38,20.0,4,-0.35,11,,,,,19.5,57.2,74.9,,62.2,,,51.4,,,2,1,41,36.8,13.2,57.9,13.2,5,8,0,1,0,3,7.3,175,7.0
David Blough,46508,QB,PURDUE,9,190,75.0,44,50,8.5,2.61,2,1,1.9,58.0,29,30,12.1,60,31.6,4,-0.05,18,,,,66.7,70.6,83.1,76.7,,79.3,87.9,,66.6,,,1,1,64,40.0,20.0,108.7,10.0,6,3,0,3,6,1,1.6,324,6.5,0,273,76.3,74.2,70.8,68.1,80.8,104,110,7.0,2.44,2,3,2.6,67.3,74,31,11.9,130,68.4,10,-0.03,43,,,,,73.1,68.1,79.7,,63.5,,,73.3,,,0,3,138,50.0,25.8,85.5,6.2,8,12,2,2,3,4,2.9,782,7.1,84.1,113,118,6.3,2.17,2,3,2.4,71.2,84,0,11.6,129,67.9,11,0.22,46,,,,66.7,73.2,88.4,79.7,,82.6,87.9,,77.8,,,0,0,138,56.6,,104.8,0.0,0,10,2,1,5,1,0.7,828,7.0,1,62.9,35,42,11.2,3.18,2,1,2.2,45.2,19,61,13.6,61,32.1,3,-0.59,15,,,,,70.4,46.1,76.6,,45.1,,,60.1,,,1,4,64,26.2,23.0,59.5,23.0,14,5,0,4,4,4,6.3,278,6.6
Jarrett Guarantano,40771,QB,TENNESSEE,9,189,76.7,43,52,9.4,2.91,3,1,1.8,59.6,31,38,6.1,71,37.6,2,-0.22,25,,,,,70.9,71.5,77.2,,70.9,60.0,,62.4,,,1,1,75,38.0,34.2,90.5,18.3,13,6,0,5,2,1,1.3,423,8.1,0,307,55.3,63.4,64.6,57.1,72.8,81,88,9.2,3.16,1,2,2.1,62.5,55,53,6.8,118,62.4,4,-0.25,26,,,,,38.4,58.3,79.3,,59.2,54.3,,57.3,,,5,1,125,36.4,24.5,84.2,11.0,13,15,0,1,2,4,3.2,574,6.5,81.3,80,84,7.6,2.78,3,2,2.2,73.8,62,0,4.6,98,51.9,3,0.16,34,,,,,72.0,71.1,78.5,,73.0,54.3,,56.7,,,0,1,104,50.0,,105.2,0.0,0,12,0,1,3,1,1.0,698,8.3,2,61.4,44,56,12.3,3.38,1,1,1.7,42.9,24,91,11.1,91,48.1,3,-0.66,17,,,,,30.5,55.0,78.2,,53.6,60.0,,62.1,,,6,1,96,23.1,28.6,58.6,28.6,26,9,0,5,1,4,4.2,299,5.3
