player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_epa,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_snap,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_positive_epa_percent,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_epa,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_snap,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_positive_epa_percent,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_epa,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_snap,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_positive_epa_percent,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_epa,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_snap,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_positive_epa_percent,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Nick Starkel,40326,QB,TEXAS A&M,7,11.72,0,214,312,68.0,172,180,11.8,2.47,1,15,7.9,56.7,102,60,12.8,187,87.4,15,0.25,70,,,,,52.1,74.6,69.1,,75.8,,,46.4,,,,3,6,197,49.2,10.0,95.4,3.2,6,1,0,4,12,9,4.6,1633,9.1,69.1,123,130,9.4,2.36,1,10,7.3,55.4,72,40,15.3,138,64.5,13,0.12,47,,,,,60.4,70.2,66.4,,72.1,,,46.4,,,,3,2,145,47.8,15.0,94.0,4.3,6,1,0,3,7,4,2.8,1067,8.2,74.3,74,76,10.9,2.36,1,5,6.3,67.1,51,22,7.3,76,35.5,4,0.49,33,,,,,47.4,76.8,77.4,,75.8,,,,,,,0,4,79,56.6,0.0,106.6,0.0,0,0,0,1,7,5,6.3,726,9.6,0,92.0,25,26,-2.8,1.56,1,0,0.0,80.8,21,2,8.7,27,12.6,2,0.25,10,,,,,67.9,66.6,73.4,,66.2,,,,,,,0,0,27,63.0,0.0,117.9,0.0,0,0,0,0,2,0,0.0,160,6.2,1.34
Chazz Surratt,40313,QB,N CAROLINA,9,-1.98,0,213,245,67.4,138,158,11.4,2.85,6,9,5.5,53.8,85,64,8.6,185,86.9,8,-0.06,59,,,,,38.3,60.5,69.6,,61.6,60.0,,57.4,,,,4,2,193,42.2,25.0,90.8,8.6,16,11,1,9,8,10,5.2,1226,7.8,73.0,100,112,6.8,2.7,2,3,2.6,58.9,66,43,9.6,131,61.5,7,-0.03,39,,,,,56.0,60.5,66.6,,60.8,,,59.0,,,,3,1,137,38.9,25.6,86.8,8.4,11,8,1,6,4,6,4.4,737,6.6,68.8,64,72,12.5,2.68,4,6,8.1,56.9,41,24,6.8,82,38.5,3,-0.32,25,,,,,27.1,57.7,77.7,,59.4,60.0,,50.2,,,,1,2,84,41.5,29.2,91.5,8.5,7,3,0,3,4,5,6.0,605,8.4,0,92.3,26,26,-3.7,1.64,0,0,0.0,84.6,22,3,8.3,28,13.1,2,-0.66,5,,,,,67.9,53.1,73.5,,52.8,,,,,,,0,1,28,25.0,66.7,69.2,7.1,2,0,0,0,0,1,3.6,116,4.5,1.82
Carter Stanley,13634,QB,KANSAS,7,-6.52,0,212,198,57.6,144,150,13.3,2.8,4,9,5.7,47.3,71,56,14.5,176,83.0,12,-0.32,39,,,,,35.1,45.1,83.9,,47.3,56.7,,48.9,,,,2,6,187,34.7,26.8,57.4,8.5,15,10,0,0,3,14,7.5,930,6.2,65.4,133,138,10.2,2.55,4,7,4.9,56.5,78,45,10.3,161,75.9,9,-0.38,36,,,,,32.6,43.6,83.6,,45.2,,,49.4,,,,1,7,170,36.6,28.9,61.7,8.1,13,9,0,0,3,12,7.1,873,6.3,65.2,46,48,10.0,2.63,1,2,4.0,50.0,24,12,20.0,51,24.1,6,-0.13,10,,,,,69.8,65.4,75.9,,66.2,56.7,,57.3,,,,1,0,53,33.3,16.7,70.0,3.9,2,1,0,0,1,2,3.8,222,4.6,0,97.1,35,36,-2.6,1.44,1,0,0.0,86.1,31,1,8.8,36,17.0,3,-0.3,7,,,,,68.7,69.4,74.4,,68.9,,,,,,,0,1,36,41.7,0.0,83.4,0.0,0,0,0,0,1,0,0.0,165,4.6,-1.7
Jeff George Jr.,46564,QB,ILLINOIS,7,0.45,0,207,187,61.0,159,168,11.7,2.87,1,14,7.5,50.6,85,100,12.4,193,93.2,12,-0.34,45,,,,,40.4,48.9,83.9,,47.9,,,59.1,,,,4,10,212,35.2,20.0,59.4,10.4,20,5,0,4,6,18,8.5,1132,6.7,62.8,129,137,10.8,2.81,1,9,6.0,51.8,71,86,12.3,162,78.3,10,-0.34,37,,,,,34.8,47.5,83.2,,46.1,,,59.1,,,,4,7,176,34.0,22.1,58.2,11.7,19,5,0,3,3,14,8.0,884,6.5,63.4,41,44,10.5,2.71,0,5,10.2,52.3,23,14,11.5,45,21.7,3,-0.12,12,,,,,69.7,59.0,75.6,,58.7,,,,,,,0,3,50,42.2,7.1,84.5,2.2,1,0,0,3,4,4,8.0,390,8.9,0,90.9,11,13,-3.4,1.59,0,0,0.0,69.2,9,0,10.0,14,6.8,1,0.36,4,,,,,66.2,59.9,71.2,,59.6,,,,,,,0,0,14,42.9,,130.9,0.0,0,0,0,2,1,0,0.0,142,10.9,2.41
Dallas Davis,13241,QB,S ALABAMA,9,-10.98,0,207,288,71.5,158,169,10.1,2.67,0,9,5.1,55.0,93,70,17.7,197,95.2,20,-0.14,59,,,,,39.2,65.0,84.9,,68.1,,,51.2,,,,0,7,205,44.2,15.7,77.8,5.6,11,17,1,10,8,10,4.9,1272,7.5,77.8,117,127,9.1,2.6,1,7,5.2,59.1,75,51,17.6,148,71.5,16,-0.09,45,,,,,31.8,67.0,84.2,,71.9,,,49.7,,,,0,4,155,45.9,15.7,87.0,5.4,8,13,1,8,6,8,5.2,1009,7.9,60.0,50,52,10.2,2.83,0,2,3.8,48.1,25,23,16.7,59,28.5,5,-0.24,16,,,,,70.2,51.5,76.3,,50.0,,,62.9,,,,0,3,60,39.0,13.0,58.7,5.1,3,4,0,2,2,3,5.0,346,6.7,0,88.9,9,10,-2.1,2.61,1,0,0.0,70.0,7,4,12.5,10,4.8,1,0.0,2,,,,,65.4,34.7,70.1,,34.7,,,,,,,0,0,10,40.0,0.0,95.0,0.0,0,0,0,0,0,1,10.0,83,8.3,-1.29
Khalil Tate,40237,QB,ARIZONA,11,16.15,0,205,109,65.7,143,155,16.4,3.22,0,14,8.4,57.4,89,79,5.3,179,87.3,5,0.26,62,,,,,57.8,91.1,65.0,,81.0,,,86.3,,,,0,9,191,45.8,15.2,92.7,6.7,12,12,0,12,13,11,5.8,1450,9.4,63.1,84,91,14.9,3.01,1,5,5.1,53.8,49,45,7.5,106,51.7,4,-0.04,28,,,,,53.4,85.0,61.5,,64.8,,,84.1,,,,0,4,113,36.8,15.6,62.9,6.6,7,8,0,6,2,7,6.2,588,6.5,78.3,83,90,12.5,2.95,0,9,9.6,70.0,63,36,3.1,99,48.3,2,0.47,43,,,,,72.0,92.1,78.5,,90.6,,,86.1,,,,0,5,104,56.6,13.9,123.5,5.1,5,4,0,7,12,4,3.8,1008,11.2,0,100.0,24,26,-2.3,1.33,1,0,0.0,88.5,23,2,4.2,26,12.7,1,-0.17,9,,,,,67.8,69.0,73.3,,68.5,,,,,,,0,0,26,50.0,0.0,102.9,0.0,0,0,0,1,1,0,0.0,146,5.6,4.74
Jarret Doege,60353,QB,BOWL GREEN,7,-8.57,0,204,122,72.5,153,169,9.2,2.54,4,6,3.4,62.1,105,70,5.4,184,90.2,6,0.1,59,,,,66.7,42.4,66.8,66.6,,69.6,88.9,,45.2,,,,2,3,193,42.9,15.7,101.6,6.0,11,4,0,10,12,9,4.7,1278,7.6,78.4,125,140,6.7,2.54,4,3,2.1,65.7,92,61,6.1,155,76.0,6,0.02,47,,,,,37.4,64.5,83.6,,68.4,,,45.2,,,,1,2,160,41.3,18.0,92.6,7.1,11,4,0,10,5,8,5.0,1001,7.2,65.9,44,49,12.1,2.16,1,3,5.8,57.1,28,10,3.4,49,24.0,1,0.3,15,,,,66.7,70.0,70.0,13.8,,68.6,88.9,,,,,,1,1,53,49.0,0.0,113.1,0.0,0,0,0,3,7,1,1.9,380,7.8,0,100.0,16,20,-2.3,1.65,1,0,0.0,75.0,15,1,6.3,20,9.8,1,-0.03,3,,,,,67.1,64.7,72.4,,64.4,,,,,,,0,0,20,45.0,0.0,86.0,0.0,0,0,0,3,0,0,0.0,103,5.2,0.61
Jordan Ta'amu,60453,QB,OLE MISS,6,5.59,0,202,226,73.6,144,154,12.7,2.82,5,11,6.9,62.3,96,55,9.4,180,89.1,10,0.06,63,,,,,67.8,68.2,67.8,,63.7,,,69.5,,,,1,4,186,46.7,21.8,106.3,6.7,12,14,1,3,10,13,7.0,1531,9.9,77.5,102,110,8.3,2.62,3,4,3.5,63.6,70,33,11.4,125,61.9,9,-0.04,42,,,,,65.0,67.1,64.4,,62.1,,,68.5,,,,0,2,129,44.8,15.2,95.8,4.0,5,9,1,4,6,7,5.4,794,7.2,75.8,62,65,14.3,2.77,2,7,10.4,69.2,45,23,4.3,77,38.1,2,0.3,30,,,,,71.1,68.4,77.4,,66.5,,,66.4,,,,1,2,79,51.9,30.4,124.7,9.1,7,5,0,0,5,6,7.6,883,13.6,0,100.0,20,21,-4.6,1.49,0,0,0.0,90.5,19,1,5.0,22,10.9,1,0.37,9,,,,,67.4,68.1,72.7,,67.7,,,,,,,0,0,22,54.5,0.0,111.5,0.0,0,0,0,1,1,0,0.0,146,7.0,6.36
Tyler Hilinski,34047,QB,WASH STATE,8,29.17,0,194,341,78.3,157,161,6.7,3.0,1,5,3.0,70.2,113,38,8.1,176,90.7,10,-0.05,60,,,,,31.7,63.6,81.5,,63.8,,,55.9,,,,2,7,179,48.3,15.8,84.3,3.4,6,9,0,1,7,8,4.5,1056,6.6,78.7,164,168,6.1,2.92,1,5,2.9,70.8,119,39,7.8,182,93.8,10,-0.03,61,,,,,32.9,62.7,81.7,,62.5,,,57.6,,,,2,7,185,49.5,15.4,83.2,3.3,6,8,0,1,6,8,4.3,1111,6.6,100.0,11,11,0.7,2.18,0,0,0.0,100.0,11,0,0.0,12,6.2,0,0.17,5,,,,,65.8,74.9,70.7,,78.6,,,57.3,,,,0,0,12,50.0,,121.6,0.0,0,1,0,0,1,0,0.0,65,5.9,0,94.4,18,18,-2.2,1.67,0,0,0.0,94.4,17,1,0.0,18,9.3,0,0.3,6,,,,,66.8,66.7,72.0,,66.3,,,,,,,0,0,18,61.1,0.0,94.4,0.0,0,0,0,0,0,0,0.0,120,6.7,-0.7
John O'Korn,46515,QB,MICHIGAN,9,-0.44,0,193,222,62.7,134,138,10.4,3.07,1,9,6.2,49.3,68,74,19.0,173,89.6,16,-0.28,43,,,,,28.6,62.5,40.3,,68.2,,,44.2,,,,1,6,183,35.3,28.4,55.0,12.1,21,14,0,2,2,6,3.3,832,6.0,64.2,109,110,8.9,2.84,1,6,5.2,53.6,59,62,15.7,137,71.0,11,-0.38,33,,,,,25.9,55.2,35.8,,58.0,,,49.8,,,,0,5,143,32.8,32.3,53.7,14.6,20,7,0,0,0,6,4.2,683,6.2,74.4,43,47,8.4,3.09,0,3,6.0,53.2,25,14,21.9,56,29.0,7,-0.09,14,,,,,41.5,75.0,76.3,,82.7,,,44.3,,,,1,1,60,39.3,14.3,75.5,3.6,2,7,0,3,2,1,1.7,268,5.7,0,100.0,18,19,-3.3,1.58,0,0,0.0,84.2,16,2,11.1,20,10.4,2,-0.41,4,,,,,23.9,55.3,72.4,,55.0,,,,,,,0,0,20,30.0,50.0,92.8,5.0,1,0,0,1,0,1,5.0,119,6.3,-0.51
Tyler Keane,54513,QB,COAST CAR,9,12.78,0,193,141,66.9,148,157,11.2,2.68,4,4,2.4,56.1,88,70,11.1,180,93.3,11,0.12,63,,,,,55.7,63.3,68.0,,66.0,,,51.4,,,,1,5,193,43.9,18.6,95.7,7.2,13,9,0,4,11,11,5.7,1388,8.8,68.6,102,112,8.2,2.71,5,1,0.8,54.5,61,55,12.9,128,66.3,9,-0.02,38,,,,,50.5,56.2,65.0,,58.5,,,52.1,,,,1,4,140,39.1,14.5,81.1,6.3,8,8,0,4,7,9,6.4,743,6.6,70.7,58,58,13.6,2.4,0,3,5.0,67.2,39,16,4.9,65,33.7,2,0.33,26,,,,,70.6,77.2,76.7,,77.1,,,57.3,,,,0,1,67,49.2,31.3,124.4,7.7,5,1,0,0,4,2,3.0,702,12.1,0,100.0,12,13,-1.8,1.6,1,0,0.0,92.3,12,1,0.0,13,6.7,0,-0.08,1,,,,,66.2,67.3,71.2,,67.0,,,,,,,0,0,14,23.1,0.0,84.9,0.0,0,0,0,0,0,0,0.0,57,4.4,5.47
Ben DiNucci,34311,QB,PITTSBURGH,10,6.49,0,192,268,64.6,127,140,12.2,3.4,3,7,4.9,52.9,74,63,9.8,171,89.1,8,-0.12,51,,,,,32.4,53.0,84.8,,52.6,,,55.0,,,,0,5,176,39.2,20.6,68.2,7.6,13,18,1,9,4,13,7.4,923,6.6,68.3,101,114,9.3,3.14,2,5,4.3,53.5,61,52,11.6,136,70.8,8,-0.18,36,,,,,28.7,48.2,84.2,,48.3,,,51.7,,,,0,3,140,36.8,21.2,65.2,8.1,11,11,1,10,2,11,7.9,647,5.7,66.7,42,45,13.9,3.39,2,2,4.3,60.0,27,14,3.6,56,29.2,1,0.1,19,,,,,70.1,69.5,76.2,,66.5,,,67.5,,,,0,2,58,48.2,21.4,96.9,5.4,3,7,0,1,3,2,3.4,444,9.9,0,93.8,16,19,-2.1,1.64,1,0,0.0,73.7,14,3,6.7,21,10.9,1,0.07,4,,,,,67.4,63.4,72.7,,63.0,,,,,,,0,0,22,47.6,33.3,117.9,4.8,1,0,0,2,1,0,0.0,168,8.8,4.19
Kyle Postma,32269,QB,HOUSTON,7,-2.26,0,190,182,70.2,124,131,10.3,2.4,4,4,2.8,59.5,78,37,10.3,151,79.5,9,-0.1,49,,,,66.7,52.0,72.2,67.8,,68.8,79.1,,66.4,,,,2,6,165,42.4,13.5,70.3,3.3,5,14,0,1,4,8,4.8,864,6.6,79.5,117,123,7.2,2.16,4,3,2.3,67.5,83,33,10.8,140,73.7,10,0.03,48,,,,66.7,50.6,74.9,66.9,,70.7,87.9,,68.0,,,,1,4,151,45.7,9.1,84.9,2.1,3,12,0,1,4,7,4.6,866,7.0,66.7,45,46,7.7,2.14,0,1,2.0,65.2,30,5,0.0,50,26.3,0,-0.18,17,,,,,69.8,63.3,75.9,,65.4,54.3,,53.1,,,,1,2,53,44.0,40.0,69.7,4.0,2,2,0,0,1,1,1.9,267,5.8,0,94.7,38,38,-2.3,1.23,0,0,0.0,92.1,35,1,2.8,39,20.5,1,0.24,16,,,,,68.9,71.7,74.7,,71.1,,,,,,,0,0,39,56.4,0.0,104.9,0.0,0,0,0,0,1,0,0.0,269,7.1,-1.24
David Blough,46508,QB,PURDUE,9,8.11,0,190,273,75.9,116,125,10.1,2.73,2,4,3.0,60.8,76,58,13.6,154,81.1,12,-0.04,49,,,,,75.7,73.2,66.9,,70.5,,,68.1,,,,1,4,166,48.1,24.1,91.3,9.1,14,15,2,4,8,5,3.0,917,7.3,78.9,90,101,5.7,2.47,4,2,1.9,61.4,62,37,12.7,125,65.8,9,-0.1,37,,,,66.7,75.2,68.0,65.0,,62.9,87.9,,67.9,,,,1,4,134,47.2,27.0,77.8,8.0,10,13,2,4,4,4,3.0,676,6.7,79.3,58,59,10.2,2.54,0,2,3.2,69.5,41,24,10.9,65,34.2,5,0.08,24,,,,,70.6,79.3,76.8,,78.3,,,62.0,,,,0,0,68,46.2,16.7,118.6,6.2,4,2,0,1,5,1,1.5,430,7.3,0,90.6,32,35,-2.1,1.49,2,0,0.0,77.1,27,3,6.9,36,18.9,2,-0.05,12,,,,66.7,68.9,70.7,74.5,,66.6,87.9,,,,,,0,0,36,41.7,0.0,98.4,0.0,0,0,0,1,1,0,0.0,189,5.4,0.6
Jarrett Guarantano,40771,QB,TENNESSEE,9,18.75,0,189,307,69.5,105,120,11.6,3.13,4,3,2.3,56.7,68,84,6.8,162,85.7,5,-0.28,47,,,,,65.0,64.8,68.5,,65.2,51.6,,59.1,,,,6,2,172,37.0,27.4,83.5,14.2,23,18,0,5,4,4,2.3,864,7.2,71.0,93,107,9.2,3.06,4,2,1.8,57.0,61,69,7.6,145,76.7,5,-0.27,35,,,,,50.8,57.1,67.5,,57.3,51.6,,56.9,,,,6,2,152,33.8,29.0,76.4,13.8,20,16,0,4,2,5,3.3,729,6.8,83.9,31,33,9.4,3.11,0,1,2.7,75.8,25,22,3.8,44,23.3,1,-0.13,16,,,,,69.5,78.8,75.4,,79.8,,,59.6,,,,0,0,48,47.7,27.3,119.3,13.6,6,5,0,2,2,0,0.0,268,8.1,0,100.0,19,20,-3.7,2.71,0,0,0.0,90.0,18,7,5.3,27,14.3,1,0.01,4,,,,,27.0,53.9,73.5,,58.6,,,51.1,,,,0,0,28,37.0,42.9,94.4,11.1,3,3,0,1,0,1,3.6,133,6.7,1.31
Josh Love,34044,QB,S JOSE ST,8,6.14,0,188,285,60.8,143,153,12.1,2.33,4,4,2.5,51.0,78,41,10.3,170,90.4,9,-0.31,44,,,,,28.5,50.1,84.2,,50.6,54.6,,48.1,,,,3,7,179,38.2,26.8,59.3,6.5,11,6,1,2,5,11,6.1,841,5.5,61.1,108,114,10.2,2.27,1,3,2.5,51.8,59,34,10.6,127,67.6,7,-0.36,35,,,,,25.1,50.3,83.4,,51.2,54.6,,45.0,,,,2,5,133,37.0,26.5,62.2,7.1,9,4,1,2,4,9,6.8,646,5.7,69.8,53,57,11.4,2.31,3,1,1.6,57.9,33,12,10.8,61,32.4,4,-0.13,14,,,,,70.5,56.2,76.6,,55.5,,,61.6,,,,1,2,65,41.0,16.7,62.2,3.3,2,2,0,0,1,2,3.1,282,4.9,0,88.9,18,18,-1.3,1.86,0,0,0.0,77.8,14,5,12.5,18,9.6,2,-0.01,5,,,,,67.0,63.8,72.2,,63.4,,,,,,,0,0,19,38.9,0.0,86.8,0.0,0,0,0,0,0,0,0.0,87,4.8,-0.72
Keon Howard,40418,QB,SO MISS,7,5.08,0,185,296,64.7,119,128,13.5,2.63,4,6,4.5,52.3,67,53,13.0,139,75.1,10,0.01,42,,,,,28.1,59.9,51.4,,61.0,46.3,,58.5,,,,2,5,147,38.1,5.7,84.0,2.2,3,5,0,3,8,11,7.5,1037,8.1,67.0,115,122,7.7,2.4,4,4,3.2,54.9,67,40,13.0,134,72.4,10,-0.11,37,,,,,27.6,62.6,67.9,,65.2,54.3,,56.5,,,,1,3,138,34.3,7.5,78.2,2.2,3,6,0,2,5,6,4.3,789,6.5,71.1,45,50,14.4,2.66,1,2,3.7,60.0,30,19,6.3,51,27.6,2,0.26,17,,,,,70.0,52.7,15.5,,51.5,54.3,,69.3,,,,1,2,56,45.1,0.0,90.4,0.0,0,1,0,3,3,5,8.9,420,8.4,0,78.0,41,44,-1.7,1.99,1,0,0.0,68.2,30,6,6.3,46,24.9,2,-0.04,12,,,,,69.5,58.8,75.4,,58.2,,,60.6,,,,0,0,47,34.8,0.0,75.2,0.0,0,2,0,2,0,0,0.0,172,3.9,1.93
David Pindell,55126,QB,UCONN,7,-3.6,0,184,146,58.3,120,133,11.6,3.04,1,7,4.9,47.4,63,66,10.0,157,85.3,7,-0.17,36,,,,,59.3,56.9,84.1,,50.2,,,65.1,,,,3,5,169,36.9,13.6,60.1,5.7,9,15,0,9,4,10,5.9,773,5.8,62.6,115,125,8.6,2.77,0,5,3.8,53.6,67,56,6.9,145,78.8,5,-0.25,34,,,,,58.3,54.2,83.9,,47.6,,,63.3,,,,2,6,154,35.9,16.1,59.5,6.2,9,11,0,8,3,10,6.5,743,5.9,64.5,31,34,11.2,2.91,1,2,5.4,50.0,17,17,15.0,39,21.2,3,-0.04,10,,,,,69.1,73.2,74.9,,69.2,,,70.6,,,,1,0,42,43.6,0.0,77.3,0.0,0,4,0,1,1,0,0.0,194,5.7,0,84.6,26,26,-2.4,1.42,0,0,0.0,80.8,21,7,4.5,27,14.7,1,-0.4,8,,,,,67.8,68.7,73.4,,68.2,,,,,,,0,1,27,40.7,0.0,76.9,0.0,0,0,0,0,0,0,0.0,164,6.3,-0.23
Kato Nelson,40264,QB,AKRON,10,-9.0,0,183,102,63.7,113,135,14.3,3.14,7,11,7.7,48.1,65,61,9.7,175,95.6,7,-0.14,48,,,,,60.5,65.2,30.3,,62.1,57.0,,67.0,,,,2,2,182,38.3,34.4,85.5,12.0,21,19,0,13,8,10,5.5,964,7.1,66.3,98,115,13.4,3.16,6,10,8.3,51.3,59,54,9.2,152,83.1,6,-0.14,40,,,,,58.9,64.6,27.6,,61.5,,,66.3,,,,1,2,158,39.5,35.2,82.4,12.5,19,18,0,10,6,9,5.7,758,6.6,61.9,21,26,14.1,2.73,1,1,3.7,42.3,11,10,15.4,31,16.9,2,-0.04,10,,,,,68.4,70.2,74.1,,63.8,57.0,,77.3,,,,1,0,32,35.5,30.0,100.2,9.7,3,2,0,3,2,1,3.1,232,8.9,0,100.0,6,6,-1.2,1.94,0,0,0.0,83.3,5,3,16.7,8,4.4,1,0.14,2,,,,,64.9,78.1,69.5,,63.9,,,69.3,,,,0,0,8,50.0,33.3,84.7,12.5,1,1,0,0,0,0,0.0,26,4.3,2.33
Zack Greenlee,46587,QB,UTEP,9,17.22,0,179,330,55.2,125,140,12.4,3.12,3,10,6.7,45.7,64,59,7.2,170,95.0,5,-0.27,41,,,,,63.3,58.4,84.0,,56.6,51.6,,60.5,,,,1,6,182,35.9,13.6,54.6,4.7,8,21,0,11,4,8,4.4,766,5.5,53.3,105,118,11.6,2.94,4,8,6.4,44.1,52,48,7.1,141,78.8,4,-0.4,27,,,,,60.9,50.9,83.4,,50.1,60.0,,55.4,,,,1,6,148,30.5,14.6,37.6,5.0,7,15,0,8,0,7,4.7,566,4.8,71.4,28,31,10.8,3.5,0,2,6.1,61.3,19,12,5.0,38,21.2,1,0.26,16,,,,,69.2,84.9,75.1,,83.1,54.3,,69.9,,,,0,0,43,55.3,8.3,125.9,2.6,1,6,0,3,4,1,2.3,247,8.0,0,87.5,8,9,-3.5,1.86,1,0,0.0,77.8,7,1,0.0,9,5.0,0,-0.1,2,,,,,65.1,76.0,69.8,,75.6,,,,,,,0,0,9,33.3,0.0,88.4,0.0,0,0,0,0,0,0,0.0,47,5.2,3.17
Chad President,28862,QB,TULSA,9,-4.35,0,178,320,63.0,138,144,11.7,2.59,3,3,1.9,50.0,72,54,17.2,164,92.1,15,-0.11,40,,,,,47.9,50.6,62.1,,46.4,,,60.2,,,,1,2,179,36.6,14.8,70.6,4.9,8,12,0,2,3,10,5.6,889,6.2,64.4,90,92,10.0,2.59,1,2,2.0,54.3,50,42,13.8,112,62.9,8,-0.17,30,,,,,41.5,49.7,59.0,,42.8,,,60.2,,,,0,1,122,35.7,19.0,71.2,7.1,8,12,0,1,1,8,6.6,546,5.9,66.1,62,66,11.0,2.33,2,1,1.4,50.0,33,12,19.5,66,37.1,8,-0.07,13,,,,,70.8,57.4,76.9,,57.1,,,,,,,1,1,71,36.4,0.0,71.2,0.0,0,0,0,1,2,2,2.8,375,5.7,0,85.7,14,14,-2.9,1.33,0,0,0.0,78.6,11,0,8.3,14,7.9,1,-0.38,3,,,,,66.2,61.4,71.2,,61.1,,,,,,,0,0,14,28.6,,79.2,0.0,0,0,0,0,0,0,0.0,32,2.3,-0.25
Cole Kelley,39945,QB,ARKANSAS,9,-1.44,0,178,111,62.4,117,130,11.2,3.14,1,2,1.4,52.3,68,77,6.8,156,87.6,5,-0.19,42,,,,,27.2,51.3,67.4,,47.2,,,63.4,,,,10,4,170,35.3,19.5,68.8,9.6,15,8,0,2,4,10,5.9,803,6.2,69.9,93,104,9.6,2.88,1,2,1.8,57.7,60,59,7.7,119,66.9,5,-0.03,33,,,,,37.8,60.3,65.0,,56.7,,,65.2,,,,7,2,130,37.8,16.9,83.0,8.4,10,2,0,3,3,6,4.6,779,7.5,63.6,44,48,7.3,3.46,0,0,0.0,56.3,27,26,3.6,59,33.1,1,-0.18,18,,,,,25.9,40.9,76.5,,40.1,,,57.4,,,,3,2,64,35.6,19.2,88.8,8.5,5,6,0,1,5,4,6.3,259,5.4,0,100.0,20,22,-4.3,2.63,0,0,0.0,86.4,19,8,5.0,22,12.4,1,0.69,9,,,,,67.6,67.8,73.0,,67.4,,,,,,,0,0,24,50.0,0.0,150.8,0.0,0,0,0,2,4,0,0.0,235,10.7,-2.09
