canonical_name,join_name,draft_season,colleges,pff_player_id,final_grades_grades_pass,final_grades_grades_offense,final_grades_accuracy_percent,final_grades_btt_rate,final_grades_twp_rate,final_grades_ypa,final_grades_avg_depth_of_target,final_grades_avg_time_to_throw,final_grades_completion_percent,final_grades_sack_percent,final_grades_pressure_to_sack_rate,final_grades_positive_epa_percent,final_grades_epa,final_grades_dropbacks,final_grades_qb_rating,career_grades_grades_pass,career_grades_grades_offense,career_grades_accuracy_percent,career_grades_btt_rate,career_grades_twp_rate,career_grades_ypa,career_grades_avg_depth_of_target,career_grades_avg_time_to_throw,career_grades_completion_percent,career_grades_sack_percent,career_grades_pressure_to_sack_rate,career_grades_positive_epa_percent,career_grades_epa,career_grades_dropbacks,career_grades_qb_rating,final_pressure_pressure_accuracy_percent,final_pressure_pressure_grades_pass,final_pressure_pressure_twp_rate,final_pressure_pressure_sack_percent,final_pressure_no_pressure_accuracy_percent,final_pressure_no_pressure_grades_pass,final_pressure_blitz_accuracy_percent,final_pressure_blitz_grades_pass,final_depth_deep_attempts_percent,final_depth_deep_accuracy_percent,final_depth_deep_btt_rate,final_depth_deep_ypa,final_depth_medium_accuracy_percent,final_depth_short_accuracy_percent,final_average_ppa_pass,career_average_ppa_pass,combine_height,combine_weight,combine_forty,combine_vertical,combine_broad,combine_three_cone,combine_short_shuttle,combine_ras_score,combine_bmi,cfbd_ppa_pass_delta,college_seasons_count,college_career_dropbacks_total,college_seasons_150plus_dropbacks,traj_delta_grades_grades_pass,traj_delta_grades_ypa,traj_delta_grades_twp_rate,traj_delta_grades_accuracy_percent,pick,round,log_pick,day
Laquon Treadwell,laquon treadwell,2016,Ole Miss,10657.0,70.1,85.3,100.0,0.0,0.0,21.0,14.0,7.6,100.0,50.0,50.0,50.0,-0.13,2.0,118.8,70.1,85.3,100.0,0.0,0.0,21.0,14.0,7.6,100.0,50.0,50.0,50.0,-0.13,2.0,118.8,100.0,70.1,0.0,50.0,,,,,0.0,,,,100.0,,,,,,,,,,,,,,1,2.0,0.0,,,,,,,,
Paxton Lynch,paxton lynch,2016,Memphis,10660.0,85.2,86.6,77.1,3.8,2.5,8.6,7.9,2.54,67.0,3.3,11.5,49.9,0.28,479.0,110.9,82.66111111111111,82.84049145299144,74.85405982905982,4.874145299145299,3.037072649572649,8.014102564102563,8.241773504273505,2.549764957264957,64.80288461538461,3.3,10.914102564102564,48.19113247863248,0.1188782051282051,468.258547008547,102.55096153846156,71.1,78.6,2.1,11.5,78.7,83.8,70.0,84.9,12.6,51.8,15.3,17.1,64.7,82.5,0.4,0.3175,79.0,244.0,4.86,36.0,118.0,7.14,4.26,,27.4846979650697,0.08250000000000002,2,936.0,2.0,5.200000000000003,1.1999999999999993,-1.1,4.599999999999994,26.0,1.0,3.258096538021482,1.0
Christian Hackenberg,christian hackenberg,2016,Penn State,10685.0,61.0,61.2,64.0,3.2,2.7,7.0,9.3,2.55,53.0,8.8,22.0,38.2,-0.13,420.0,83.1,56.13543788187373,53.1877800407332,64.97291242362526,4.058452138492871,3.2723014256619147,6.484928716904276,8.95661914460285,2.618676171079429,54.487983706720975,8.342158859470468,23.48798370672098,39.85967413441956,-0.1872301425661914,501.2668024439919,75.14501018329938,49.5,40.4,5.0,22.0,70.3,75.0,57.5,61.1,16.0,39.7,15.6,12.0,51.7,69.8,0.155,0.1025,76.0,223.0,4.78,31.0,114.0,7.04,4.33,,27.14144736842105,0.052500000000000005,2,982.0,2.0,8.5,0.9000000000000004,-1.0,-1.7000000000000028,51.0,2.0,3.9318256327243257,1.0
Tyler Boyd,tyler boyd,2016,Pittsburgh,10689.0,83.9,89.9,66.7,33.3,0.0,22.3,21.3,3.48,66.7,0.0,0.0,50.0,0.77,4.0,109.7,81.66666666666667,90.03333333333335,77.8,22.2,0.0,24.53333333333333,17.2,3.753333333333333,77.8,0.0,0.0,50.0,0.62,3.333333333333333,112.73333333333332,66.7,83.9,0.0,0.0,,,100.0,91.9,66.7,50.0,50.0,14.5,100.0,,,,,,,,,,,,,,2,6.0,0.0,6.700000000000003,-6.699999999999999,0.0,-33.3,,,,
Braxton Miller,braxton miller,2016,Ohio State,10719.0,60.4,69.0,100.0,0.0,0.0,3.0,-4.0,1.0,100.0,0.0,,0.0,-0.13,1.0,79.2,60.4,69.0,100.0,0.0,0.0,3.0,-4.0,1.0,100.0,0.0,,0.0,-0.13,1.0,79.2,,,,,100.0,60.4,,,0.0,,,,,,0.534,0.534,,,,,,,,,,0.0,1,1.0,0.0,,,,,,,,
Nick Vigil,nick vigil,2015,Utah State,10721.0,62.6,76.6,100.0,0.0,0.0,6.5,-5.0,0.5,100.0,0.0,,50.0,-0.12,2.0,93.8,62.6,76.6,100.0,0.0,0.0,6.5,-5.0,0.5,100.0,0.0,,50.0,-0.12,2.0,93.8,,,,,100.0,62.6,,,,,,,,,,,,,,,,,,,,,1,2.0,0.0,,,,,,,,
Jacoby Brissett,jacoby brissett,2016,NC State,10725.0,70.3,71.5,71.3,4.4,2.9,6.7,9.0,2.98,59.5,7.9,22.2,39.8,-0.04,471.0,90.0,70.49914712153517,75.78166311300639,71.2502132196162,4.250639658848614,3.0991471215351813,6.849360341151387,9.248933901918976,3.004893390191898,59.5,7.252771855010661,21.35362473347548,43.28507462686567,-0.0200852878464818,469.0085287846482,93.03699360341152,56.6,49.1,2.3,22.2,75.7,80.1,68.5,64.4,14.6,31.0,20.6,9.7,62.9,79.2,0.179,0.2155,76.0,231.0,4.94,31.0,113.0,7.17,4.53,,28.11513157894737,-0.036500000000000005,2,938.0,2.0,-0.4000000000000057,-0.2999999999999998,-0.3999999999999999,0.09999999999999432,91.0,3.0,4.51085950651685,1.0
Cody Kessler,cody kessler,2016,USC,10727.0,82.5,85.3,78.2,3.6,1.9,7.9,8.3,2.83,66.7,7.6,21.0,47.4,0.15,500.0,105.7,87.37537688442211,88.88190954773869,79.24472361809045,4.246733668341709,1.7507537688442212,8.148743718592964,8.250251256281407,2.800150753768844,67.99346733668342,6.853768844221105,19.01005025125628,48.39497487437186,0.2096984924623115,497.5125628140704,112.31658291457286,69.7,64.4,1.6,21.0,81.3,88.5,71.5,75.4,12.5,37.5,25.0,10.3,61.0,89.4,0.334,0.392,73.0,220.0,4.89,29.5,104.0,7.32,4.0,,29.022330643647965,-0.057999999999999996,2,995.0,2.0,-9.799999999999997,-0.5,0.2999999999999998,-2.0999999999999943,93.0,3.0,4.532599493153256,1.0
Connor Cook,connor cook,2016,Michigan State,10734.0,83.9,83.8,66.5,7.6,3.9,7.6,11.1,2.68,55.6,3.6,11.6,45.5,0.19,440.0,92.4,81.97087845968713,80.78868832731648,65.55896510228641,7.176534296028882,4.229362214199759,8.16462093862816,11.099999999999998,2.689410348977136,56.635138387484965,3.6000000000000005,12.870397111913356,47.80553549939831,0.2417569193742478,416.94464500601686,95.69362214199758,54.5,60.7,2.8,11.6,70.7,90.2,61.0,81.2,16.7,59.4,27.0,14.1,57.8,72.6,0.362,0.425,76.0,217.0,4.79,33.0,113.0,7.21,4.28,,26.411184210526315,-0.063,2,831.0,2.0,4.1000000000000085,-1.200000000000001,-0.6999999999999997,2.0,100.0,4.0,4.605170185988092,2.0
Pharoh Cooper,pharoh cooper,2016,South Carolina,10751.0,42.7,76.7,40.0,0.0,12.5,2.2,18.0,4.31,40.0,12.5,50.0,37.5,-0.16,8.0,87.5,66.89411764705882,77.01764705882353,51.91176470588236,6.617647058823529,5.882352941176471,6.223529411764707,18.052941176470583,3.605882352941176,51.91176470588236,5.882352941176471,23.529411764705884,47.08235294117648,0.0994117647058823,8.529411764705882,112.3294117647059,,60.0,0.0,50.0,40.0,48.5,0.0,58.4,40.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,2,17.0,0.0,-45.7,-7.6000000000000005,12.5,-22.5,,,,
Demarcus Robinson,demarcus robinson,2016,Florida,10760.0,46.8,68.5,0.0,0.0,0.0,0.0,12.0,3.6,0.0,0.0,,0.0,-0.8,1.0,39.6,46.8,68.5,0.0,0.0,0.0,0.0,12.0,3.6,0.0,0.0,,0.0,-0.8,1.0,39.6,,,,,0.0,46.8,,,0.0,,,,0.0,,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
Dak Prescott,dak prescott,2016,Mississippi State,10769.0,75.4,76.4,75.3,4.3,4.2,7.9,8.0,2.62,65.8,5.9,17.6,49.4,0.16,529.0,105.7,73.71575695159629,74.44263645726056,72.88743563336766,4.664160659114315,3.972399588053553,8.264160659114316,8.864881565396498,2.683728115345005,63.88815653964984,5.3992790937178174,16.689598352214215,51.31184346035016,0.1964160659114315,489.3975283213183,103.51503604531412,62.1,51.8,5.5,17.6,79.8,84.7,74.2,79.1,11.3,50.0,25.4,16.0,59.4,81.1,0.339,0.327,74.0,226.0,4.79,32.5,116.0,7.11,4.32,,29.013513513513512,0.01200000000000001,2,971.0,2.0,3.700000000000003,-0.7999999999999989,0.5,5.299999999999997,135.0,4.0,4.90527477843843,2.0
Cardale Jones,cardale jones,2016,Ohio State,10773.0,56.5,57.8,72.7,3.3,6.2,8.2,10.0,2.8,61.9,6.9,19.4,44.6,-0.05,202.0,91.3,62.30441640378549,62.84258675078864,72.22839116719243,3.227444794952681,4.241009463722397,8.59905362776025,11.01577287066246,2.948738170347003,61.53722397476341,5.956782334384859,16.67917981072555,46.885488958990535,0.0116719242902208,170.43848580441642,97.28580441640378,60.0,28.3,10.4,19.4,76.9,77.3,71.2,68.4,18.2,46.9,17.1,14.6,69.7,73.3,0.304,0.3409999999999999,77.0,253.0,4.81,36.0,,,,,29.998144712430427,-0.03699999999999992,2,317.0,1.0,-16.0,-1.1000000000000014,5.4,1.2999999999999972,139.0,4.0,4.9344739331306915,2.0
