RD,#,Order,Bullard ,Kurt,Rugg,Dusty,Foss,Key
3,C,,Ed Isaiah McGuire Cle (1), DL Adetomiwa Adebawore Ind,CB Mekhi Blackmon Min,CB Keelee Ringo Phi (1),CB Jakorian Bennett Lvr $,
3,C,,,CB Clark Phillips Atl (1),C Jake Andrews Ne (1),,,
4,,,RB Roschon Johnson Chi,OT Carter Warren Nyj (1),Ed Tavious Robinson Bal (1),CB Chamarri Conner Kc $,OG Chandler Zavala Car $,
4,CE,,QB Clayton Tune Arz,RB Israel Abinkanada Nyj,TE Josh Whyle Ten (1),TE Will Mallory Ind,CB Darius Rush Ind,
4,C,,G Atonio Mafi Ne (1),,,S Antonio Johnson Jax (2),WR Justin Shorter Buf,
5,,,LB Henry To'oTo'o Hou $,OT Warren McClendon Lar (1),G Jordan McFadden Lac,LB Noah Sewell Chi (1),Owen Pappoe Arz,
5,C,,C Luke Wypler Cle,,S JL Skinner Den,WR A.T Perry No,T Jaelyn Duncan Ten (1),
6,,,TE Zack Kuntz Nyj,RB DeWayne McBride Min,CB Cory Trice Pit,DT Scott Matlock Lac $,WR Xavier Hutchinson Hou  $,
6,C,,,,,WR Antoine Green Det,G Jovaughn Gwyn Atl,
7,,,DT Desjuan Johnson Lar,G Andrew Voorhes Bal  $,LB Ivan Pace Min $,CB Carrington Valentine Gb $,TE Brayden Willis Sf,
7,C,,,,,G Emil Ekiyor Ind,RB Keaton Mitchell Bal,
UN,,,RB Sean Tucker Tb,CB Eli Ricks Phi,WR Bryce Ford-Wheaton Nyg,WR Malik Knowles Min,DT Jalen Redmond Car,
UN,,,WR Rakim Jarrett Tb,TE Noah Grindorf Ndst,ED Andre Carter Min,CB Rejzhon Wright Car,WR Matt Landers Sea,
UN,,,TE Ben Sims Min $,DT Jerrod Clark Lac,G Jaxson Kirkland Cin,G TJ Bass Dal $,S Ronnie Hickman Cle $,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022,,,Order is,"(Rugg, Kurt, Bull, Dusty)",,,,
,,,,,,,,
1,9,,3) S Kyle Hamilton ND $,2) C Tyler Linderbaum Iowa $,1) WR Chris Olave Osu $,4)  WR Garret Wilson Osu $,,
2,41,,2) WR Skyy Moore WMU (1),3) CB Andrew Booth Jr Clem,4) S Jaquan Brisker Psu $,1) RB Kenneth Walker Msu $,,
3,73,,1) LB Nakobe Dean UGA $,4) QB Malik Willis LIB,3) DT Travis Jones Uconn $,2) Jelani Woods Vir (1),,
3,C 105,, - , - ,1) OL Darian Kinnard UK, - ,,
4,114,,4) TE Charlie Kolar ISU (1),1) QB Sam Howell UNC (1),2) CB Damarri Mathis Pitt $,3) CB Jaylyn Armour-Davis BAMA (1),,
4,C 143,,1) WR Khalil Shakir BSU $,2) Micah McFadden IND $,-,-,,
4,C 143,,1) TE Chig Okonkwo MD $, ,-,-,,
5,152,,3) LB Damone Clark LSU $,2) WR Kyle Phillips UCLA,1) CB Tariq Woolen Utsa $,4) CB Zyon McCollum SamH $,,
5,CE 179,,2) LB Darrian Beavers UC,3) WR Justyn Ross CLEM,4) ED Kingsley Enagbare Sc $,1) ED Amare Barno VT,,
5,C 179,,-,-,1) WR Jalen Nailor MSU $,2) G Justin Shaffer UGA,,
6,188,,4) DT Curtis Brooks UC,1) OG Jamaree Salyer Uga $,3) C Dohnavon West ASU,2) DT Matt Henningsen WISC,,
6,C 221,,1) WR Bo Melton RUT,-,-,2) OT Thayer Munford Osu $,,
7,230,,4) OG Chris Paul TUL $,Traded to Bull,2) WR Samori Toure NEB,3) OT Rasheed Walker PSU $,,
7,T 230,,1) QB Carson Strong NEV,,,,,
7,C 262,,-,-,-,2) Jojo Domann NEB,,
UN,263,,3) CB Mario Goodrich CLEM,2) RB Abram Smith BAY,1) CB Josh Jobe BAMA $,4) ED Christopher Allen BAMA ,,
UN,263,,2) TE Jalen Wydermyer TxAM,3) S Marquise Bell FlAM $,4) WR Kevin Austin ND,1) S Smoke Monday AUB,,
UN,263,,1) DT Noah Ellis IDA,4) LB Jeremiah Gemmel UNC,3) DT Christopher Hinton MICH,2) DT Garrett Haskins OSU,,
,,,,,,,,
,,,Trades,Bull Trades 188 to Kurt for his 188 and 230,,,,
,,,,,,,,
,,,,,,,,
2021,,,Order is,"(Rugg, Dusty, Kurt, Bull)",,,,
,,,,,,,,
1,12,,4) OT Rashawn Slater Nw $,3) ED Jalen Phillips Mia $,1) QB Mac Jones Bama $,2) LB Micah Parsons Psu $,,
2,44,,2) C Creed Humphrey Okla $,1)  BN Jeremiah Owusu-Koramoah Nd $,4) CB Asante Samuel Jr Fsu $,3)  ED Azeez Ojulari Uga $,,
3,76,,1) LB Derek Barnes Pur $,2) CB Paulson Adebo Stanford $,3 WR Nico Collins Mich $,4)  LB Divine Deablo Vt $,,
4,117,,3) CB Tre Brown Okla (1),4) DB Shaun Wade Osu (1),2) TE Brevin Jordan Mia (1),1) WR Tylan Wallace Okst,,
4,C 144,,4) TE Zach Davidson Cent Mizz,3) WR Ihmir Smith-Marsette Iowa,1) DT Daviyon Nixon Iowa,2) LB Tony Fields Wvu $,,
4,C 144,,1) S Darrick Forrest Uc $,S) S Cade Sterns TX,,,,
4,C 144,,1) TE Noah Gray Duke $,,2) S Jamar Johnson Ind,,,
5,156,,1) OT Brendan Jaimes NEB,2) LB Cam McGrone MICH,4) G Trey Smith Ten $,3) ED Adetokunbo Ogundeji Nd $,,
5,C 184,,1) WR Frank Darby Arizona St,,,2)  S Hamsah Nasirildeen FSU,,
6,196,,1) DT Jonathan Marshall Ark, Traded to BULL,3) OT Stone Forsythe Fla $,4) CB Tay Gowan UCF,,
6,T 196,,2) Dylan Moses Bama,,,,,
6,C 228,, ,1) CB Thomas Graham Jr ORE,,2)  CB Kary Vincent Jr LSU,,
7,240,,3) S James Wiggins UC,4) DT Marvin Wilson FSU,2)  WR Tre Nixon UCF,1) Jamar Jefferson OreSt,,
7,C 259,,,,,1) LB Grant Stuart Hou $,,
UN,260,,4)  S Trill Williams SYR,3) G David Moore Gram,1) CB Shakur Brown MSU,2) S Ar'Darius Washington TCU $,,
UN,260,,1) LB Justin Hilliard OSU,2) WR Tamorrian Terry FSU,4) WR Cade Johnson ,3) WR Sage Surratt Wake,,
UN,260,,2)  G Robert Jones MidTen $,1) WR Austin Watkins UAB,3)  CB Bryan Mills,4) Hamilcar Rashad jr OKST,,
,,,,,,,,
,,,Trades,Bull Trades pick 1 of rd 2 and pick 2 of rd 3 to,"Kurt for pick 2 of rd 2, pick 1 of 3 and Kurts 6th",,,
,,,,,,,,
2020,,,Order was,"(Dusty, Kurt, Bull, Rugg)",,,,
,,,,,,,,
1,3,,OT Andrew Thomas Uga $,OT Jedrick Wills Bama $,OT Tristian Wirfs Iowa $,QB Tua Tagovailoa Bama $,,
2,35,,Jk Dobbins Osu (2),WR Laviska Sehnault Col $,RB Jonathon Taylor Wisc $,T Ezra Cleveland Boise $,,
3,67,,LB Zack Baun Wisc $,TE Devin Asiasi UCLA,G Damien Lewis LSU $,DT Justin Madubuike TxAm $,,
4,109,,G Kevin Dotson Louisiana $,TE Harrison Bryant Fau $,QB Jacob Eason Wash,RB La'mical Perine FL,,
4,C 146,,CB Bryce Hall Vir (traded) $,-,-,C Tyler Biadasz Wisc $,,
5,149,,S/LB Khaleke Hudson,ED Trevis Gipson Tul $, Traded for Bryce Hall,WR Collin Johnson Tx,,
5,T 149,,G Shane Lemieux Ore $,-,-,-,,
5,C 179,,-,-,ED Bradlee Anae Utah,G Netane Muti Fres,,
6,182,,WR Donovan Peoples Jones Mich $,WR KJ Hill Osu,Traded see above,OT Prince Tega Wanogho AUB,,
6,T 182,,LB Marcus Bailey PUR,-,-,-,,
6,C 214,,S Geno Stone $,RB Eno Benjamin ASU,WR Juwaun Johnson Ore $,ED Carter Coughlin Minn,,
7,217,,ED Kenny Willekes MSU,LB Clay Johnston Bay,TE Jared Pickney Vandy,ED James Smith-Williams NCST $,,
UN,UDFA,,CB Aj Green Okst,TE Hunter Bryant Wash,DT Raquan Williams MSU,OT Trey Adams Wash,,
UN,UDFA,,CB Lamar Jackson Neb $,RB Javon Leake Md,RB LeVante Bellamy,DE Nick Coe Aub,,
UN,UDFA,,TE Jacob Breeland Ore,RB James Robinson III ILL $,OL Tyler Higby MSU,LB Jordan Mack Vir,,
,,,,,,,,
,,,Trades,Bull Traded Bryce Hall to,"to Rugg for his 5th (149), and his 6th (182) ",,,
,,,,,,,,
,,,,,,,,
2019,,,,,,,,
,,,,,,,,
1,,,ED Brian Burns FSU $,ED Montez Sweat MSST $,DT Christian Wilkins CLEM $,,,
2,,,WR Aj Brown Miss $,S Juan Thornhill VIR $,CB Greedy Williams Lsu,,,
3,,,ED Chase Winovich Um,OT Bobby Evans Okla $,WR Hakeem Butler ISU,,,
4,,,TE Foster Moreau LSU $,G Michael Jordan OSU $,TE Foster Moreau LSU $,,,
4,,,CB Amani Oruwariye PSU $,,,,,
5,,,LB Blake Cashman Minn $,LB Mack Wilson BAMA $,OT David Edwards WISC $,,,
5,,,,,OT Dennis Daley SC $,,,
6,,,OT Oli Ugoh Elon $,WR Kelvin Harmon NCST,OG Beau Benzschwel WISC,,,
6,,,DL Michael Dogbe Temple $,TE Alize Mack ND,WR Keelan Doss UC DAVIS,,,
7,,,TE Caleb Wilson UCLA,CB Stephen Denmark VALD ST,CB Jimmy Moreland JAMES MAD $,,,
UN,,,LB Tevon Coney ND,QB Tyree Jackson BUF,TE Donald Parham STETSON $,,,
UN,,,WR Preston Williams CSU $,LB Terrill Hanks NEW MEX,OT Terrone Prescod NCST,,,
UN,,,WR Stanley Morgan NEB,LB Tevon Coney ND,DT Gerald Willis MIA,,,
,,,,,,,,
,,,,,,,,
2018,,,,,,,,
,,,,,,,,
1,,,QB Josh Rosen Ucla (1),QB Josh Rosen Ucla (1),QB Josh Rosen Ucla (1),,,
2,,,RB Derrius Guice Lsu (1),WR Christian Kirk TXAM $,ED Uchenna Nwuso USC $,,,
3,,,WR Michael Gallup CSU $,RB Royce Freeman Ore (1),WR Michael Gallup $,,,
4,,,OLB Josh Sweat Fsu $,OLB Josh Sweat Fsu $,OLB Josh Sweat Fsu $,,,
4,,,DT Maurice Hurst Um $,DT Maurice Hurst Um $,DT Maurice Hurst Um $,,,
5,,,OT Jamarco Jones OSU,OT Jamarco Jones OSU,LB JaWhan Bentley PUR $,,,
6,,,WR Equanimeous St Brown Nd $,WR Equanimeous St Brown Nd $,WR Equanimeous St Brown Nd $,,,
7,,,WR Richie James MT $,CB Greg Stroman VT,WR Richie James MT $,,,
UN,,,CB Quenton Meeks STAN,WR Robert Foster BAMA,CB Quenton Meeks STAN,,,
UN,,,CB J.C Jackson MARY $,WR Deontay Burnett USC,CB Holton Hill TX,,,
UN,,,DT Hercules Mata'afa WASH,LT Des Harrison CONTRA $,WR Simmie Cobbs IND,,,
,,,,,,,,
,,,,,,,,
2017,,,,,,,,
,,,,,,,,
1,,,DL Solomon Thomas STAN,S Jamal Adams LSU $,S Jamal Adams LSU $,,,
2,,,CB Sidney Jones WASH $,CB Sidney Jones WASH $,ED Tyus Bowser HOU,,,
3,,,C Pat Elfein OSU $,C Pat Elfein OSU $,CB Ahkello Witherspoon COL $,,,
4,,,ED Carl Lawson Aub $,S Tedrick Thompson COL $,ED Carl Lawson Aub $,,,
5,,,S Desmond King IOWA $,TE Jordan Leggett CLEM,QB Nathan Peterman TEN,,,
5,,,WR Robert Davis GEORGIA ST,DT Caleb Brantley FL,DT Caleb Brantley FL,,,
6,,,S Xavier Woods LaTECH $,TE Bucky Hodges VT,TE Bucky Hodges VT,,,
7,,,ED Ejuan Price PITT,WR Austin Carr NW,WR Malachi Dupre LSU,,,
,,,,,,,,
,,,,,,,,
2016,,,,,,,,
,,,,,,,,
1,,,S Karl Joseph WVU $,WR Corey Coleman BAY,S Karl Joseph WVU $,,,
2,,,CB Makenzie Alexander CLEM $,CB Makenzie Alexander CLEM $,C Cody Whitehair KSU $,,,
3,,,DL Javon Hargrave SC $,CB Kendall Fuller WASH $,DL Adolphus Washington OSU,,,
4,,,LB Antonio Morrison FL,RB Devontae Booker UTAH ,RB Kenneth Dixon LaTECH,,,
5,,,OT Joe Haeg NDST $,LB Kentrell Brothers MIZZ,&&ED Matt Judon GRAND VALLEY $,,,
6,,,WR Mike Thomas SoMISS,DL Anthony Zettel PSU,&& WR Moritz Boehringer ,,,
7,,,LB Scooby Wright ARZ,LB Scooby Wright ARZ,###WR Aaron Burbridge MSU,,,
,,,,,LB Scooby Wright ARZ,,,
,,,,,,,,
2015,,,,,,,,
,,,,,,,,
1,,,OT DJ Humphries FL $,DL Malcom Brown TX $,WR Breshad Perriman UCF $,,,
2,,,ED Randy Gregory NEB,ED Randy Gregory NEB,ED Randy Gregory NEB,,,
3,,,DL Carl Davis IOWA,OT TJ Clemmings PITT,LB Paul Dawson TCU,,,
4,,,DL Grady Jarrett CLEM $,DL Grady Jarrett CLEM $,RB Jay Ajayi BSU $,,,
5,,,DL Michael Bennett OSU,DL Michael Bennett OSU,TE Jesse James PSU $,,,
6,,,CB Lfo Ekpre-Olomu ORE,CB Lfo Ekpre-Olomu ORE,CB Lfo Ekpre-Olomu ORE,,,
7,,,OT Lael Collins LSU $,OT Lael Collins LSU $,OT Lael Collins LSU $,,,
,,,,,,,,
,,,,,,,,
2014,,,,,,,,
,,,,,,,,
1,,,CB Kyle Fuller VT $,OG Zach Martin ND $,LB CJ Mosley BAMA $,,,
2,,,WR Cody Latimer IND,ED Jeremiah Attaochu GT,DL Stephon Tuitt ND $,,,
3,,,G Gabe Jackson MSST $,S Terrance Brooks FSU,WR Donte Moncrief MISS $,,,
4,,,CB Pierre Desir LINDENWOOD $,QB Tom Savage PITT,G David Yankey STAN,,,
5,,,RB Leche Seastrunk BAY,G Jon Urshel PSU,RB Leche Seastrunk BAY,,,
6,,,RB Storm Johnson UCF,DT Dan McCullers TENN,G Laurent Duvernay-Tardif  McGILL $,,,
7,,,WR Jeff Janis SVSU,S Ahmad Dixon BAY,OT Seantrel Henderson MIA $,,,
